0.0  0.0  0.0 | 1.471E14  1.1607345098688777E8  1.0E13 | 1.471E11  3.670564809944845E9  0.0 | 86400.0
137.37353751128558  3.4278584051123455  9.283074225368083E-6 | 1.4709999999990906E14  2.3214690197370374E8  9.999999999993816E12 | 1.4700849440907446E11  7.338846294247509E9  9.31085054404432E-6 | 172800.0
411.9071146764081  13.702909219967713  2.7849222676141636E-5 | 1.4709999999972716E14  3.482203529603762E8  9.99999999998145E12 | 1.4682562543996237E11  1.100256680544148E10  2.79325170322057E-5 | 259200.0
823.3025082348768  34.233865796650655  5.569844535240392E-5 | 1.4709999999945428E14  4.642938039468334E8  9.999999999962898E12 | 1.465515917417143E11  1.4659455770567259E10  5.5864930369584615E-5 | 345600.0
1371.1772698482987  68.41674686382723  9.28307422542839E-5 | 1.4709999999909044E14  5.803672549330034E8  9.999999999938164E12 | 1.4618664806642172E11  1.830725107266198E10  9.31079870950267E-5 | 432000.0
2055.065275463285  119.63282593012927  1.39246113381956E-4 | 1.4709999999863566E14  6.964407059188147E8  9.999999999907246E12 | 1.457311049032816E11  2.1943700416679276E10  1.3966154954139532E-4 | 518400.0
2874.4173226183425  191.24660510353672  1.9494455873563977E-4 | 1.470999999980899E14  8.125141569041953E8  9.999999999870145E12 | 1.4518532808072525E11  2.5566562679145416E10  1.9552544602703532E-4 | 604800.0
3828.601774587161  286.60381431754104  2.599260783155996E-4 | 1.470999999974532E14  9.285876078890735E8  9.99999999982686E12 | 1.44549738337349E11  2.9173609240891785E10  2.6069947107804244E-4 | 691200.0
4916.905250239223  409.02943690438366  3.341906721221443E-4 | 1.4709999999672553E14  1.0446610588733776E9  9.99999999977739E12 | 1.4382481086239218E11  3.2762625302237328E10  3.3518338568093166E-4 | 777600.0
6138.53335848942  561.8257624057452  4.177383401556268E-4 | 1.470999999959069E14  1.1607345098570356E9  9.999999999721738E12 | 1.4301107480651395E11  3.633141118002793E10  4.1897691756527695E-4 | 864000.0
7492.611476201318  748.2704674620039  5.105690824164435E-4 | 1.470999999949973E14  1.276807960839976E9  9.999999999659902E12 | 1.4210911276362534E11  3.9877783585972404E10  5.120797615158782E-4 | 950400.0
8978.185568403787  971.6147255726821  6.126828989050339E-4 | 1.4709999999399675E14  1.3928814118221269E9  9.999999999591883E12 | 1.4111956022453598E11  4.339957688574712E10  6.144915797139897E-4 | 1036800.0
10594.223049677812  1235.0813464730322  7.240797896218799E-4 | 1.4709999999290525E14  1.5089548628034165E9  9.99999999951768E12 | 1.4004310500317706E11  4.6894644338373116E10  7.262120021071317E-4 | 1123200.0
12339.61368556934  1541.862945824965  8.447597545675055E-4 | 1.4709999999172278E14  1.625028313783773E9  9.999999999437293E12 | 1.3888048663616245E11  5.036085931540051E10  8.472406268069852E-4 | 1209600.0
14213.170532885017  1895.1201458747628  9.747227937424761E-4 | 1.4709999999044934E14  1.7411017647631247E9  9.999999999350723E12 | 1.3763249575644983E11  5.379611649946574E10  9.77577020514861E-4 | 1296000.0
16213.630917730341  2297.9798076853162  0.001113968907147397 | 1.4709999998908497E14  1.8571752157413998E9  9.999999999257969E12 | 1.3629997344186108E11  5.719833306181665E10  0.001117220718974214 | 1382400.0
18339.657450154256  2753.5332955070376  0.0012624980947829143 | 1.4709999998762962E14  1.9732486667185266E9  9.999999999159031E12 | 1.3488381053921893E11  6.056544981842986E10  0.0012661712274496663 | 1468800.0
20589.83907427026  3264.8347738091948  0.0014203103566497125 | 1.470999999860833E14  2.0893221176944332E9  9.99999999905391E12 | 1.3338494696485234E11  6.3895432364372635E10  0.0014244280212319823 | 1555200.0
22962.69215273171  3834.8995374522337  0.0015874056927485147 | 1.4709999998444603E14  2.205395568669048E9  9.999999998942605E12 | 1.3180437098221826E11  6.7186272186089294E10  0.0015919905461684366 | 1641600.0
25456.661584448095  4466.702375441748  0.0017637841030800816 | 1.470999999827178E14  2.321469019642299E9  9.999999998825117E12 | 1.3014311845738133E11  7.043598775131865E10  0.0017688582192179985 | 1728000.0
28070.121954439455  5163.175968666167  0.0019494455876452107 | 1.4709999998089862E14  2.437542470614115E9  9.999999998701445E12 | 1.2840227209308606E11  7.364262557637456E10  0.001955030429030747 | 1814400.0
30801.378714737843  5927.209321983008  0.0021443901464447347 | 1.4709999997898847E14  2.553615921584424E9  9.999999998571592E12 | 1.2658296064214836E11  7.680426127054655E10  0.0021505065365509234 | 1900800.0
33648.66939525758  6761.646230982667  0.0023486177794795216 | 1.4709999997698738E14  2.6696893725531535E9  9.999999998435555E12 | 1.2468635810088449E11  7.991900055740161E10  0.0023552858756430207 | 1987200.0
36610.164843570106  7669.283783724328  0.002562128486750473 | 1.470999999748953E14  2.785762823520232E9  9.999999998293334E12 | 1.2271368288328658E11  8.298498027279051E10  0.0025693677537402962 | 2073600.0
39683.97049253416  8652.870897705523  0.0027849222682585235 | 1.4709999997271228E14  2.9018362744855886E9  9.99999999814493E12 | 1.2066619697664328E11  8.600036933938495E10  0.0027927514525150944 | 2160000.0
42868.12765474801  9715.106892295365  0.0030169991240046393 | 1.4709999997043828E14  3.017909725449151E9  9.999999997990342E12 | 1.1854520507929419E11  8.896336971759184E10  0.0030254362285703504 | 2246400.0
46160.61484280719  10858.640096831377  0.0032583590539898176 | 1.4709999996807334E14  3.133983176410847E9  9.99999999782957E12 | 1.1635205372119493E11  9.187221733271187E10  0.0032674213141516517 | 2332800.0
49559.34911436867  12086.066494551256  0.003509002058215085 | 1.4709999996561744E14  3.2500566273706055E9  9.999999997662615E12 | 1.1408813036795845E11  9.47251829782281E10  0.0035187059178792128 | 2419200.0
53062.187441040696  13399.928402503772  0.0037689281366814964 | 1.4709999996307056E14  3.3661300783283544E9  9.999999997489477E12 | 1.117548625090259E11  9.752057319512856E10  0.0037792892254991353 | 2505600.0
56666.928100136196  14802.71318755739  0.004038137289390135 | 1.4709999996043275E14  3.482203529284022E9  9.999999997310154E12 | 1.0935371673060776E11  1.0025673112718376E11  0.004049170400653302 | 2592000.0
60371.31208834699  16296.85201860102  0.0043166295163421095 | 1.4709999995770397E14  3.598276980237536E9  9.999999997124648E12 | 1.0688619777402351E11  1.0293203735211652E11  0.004328348585667255 | 2678400.0
64173.02455641574  17884.71865500865  0.004604404817538554 | 1.4709999995488422E14  3.714350431188825E9  9.999999996932959E12 | 1.0435384758005444E11  1.0554491068861578E11  0.004616822902355417 | 2764800.0
68069.69626390266  19568.628271418438  0.004901463192980625 | 1.470999999519735E14  3.830423882137818E9  9.999999996735086E12 | 1.0175824431991109E11  1.0809380897916147E11  0.004914592452842992 | 2851200.0
72058.90505316429  21350.836318856964  0.005207804642669504 | 1.4709999994897184E14  3.946497333084442E9  9.99999999653103E12 | 9.910100141340352E10  1.1057722984863913E11  0.00522165632040389 | 2937600.0
76138.17734168228  23233.537422221205  0.005523429166606393 | 1.4709999994587922E14  4.062570784028626E9  9.99999999632079E12 | 9.638376653488841E10  1.129937114387367E11  0.005538013570314031 | 3024000.0
80304.98963190064  25218.864314113787  0.0058483367647925106 | 1.4709999994269562E14  4.178644234970298E9  9.999999996104365E12 | 9.36082206075536E10  1.1534183311812584E11  0.0058636632507193505 | 3110400.0
84556.7700377508  27308.88680501159  0.006182527437229099 | 1.470999999394211E14  4.294717685909386E9  9.999999995881758E12 | 9.077607678658673E10  1.176202161684414E11  0.006198604393517855 | 3196800.0
88890.89982706454  29505.61078973371  0.0065260011839174134 | 1.470999999360556E14  4.410791136845819E9  9.999999995652967E12 | 8.788907943176094E10  1.1982752444608162E11  0.006542836015255069 | 3283200.0
93304.7149790953  31810.977290162024  0.006878758004858729 | 1.4709999993259912E14  4.526864587779525E9  9.999999995417992E12 | 8.494900306995667E10  1.2196246501985999E11  0.006896357118032196 | 3369600.0
97795.50775638915  34226.86153415609  0.007240797900054334 | 1.470999999290517E14  4.642938038710431E9  9.999999995176834E12 | 8.195765134812495E10  1.2402378878454796E11  0.007259166690426353 | 3456000.0
102360.5282902669  36755.072070594055  0.0076121208695055275 | 1.470999999254133E14  4.759011489638467E9  9.999999994929492E12 | 7.89168559771844E10  1.260102910503537E11  0.0076312637084221925 | 3542400.0
106996.98617919881  39397.34992046239  0.007992726913213623 | 1.4709999992168397E14  4.87508494056356E9  9.999999994675967E12 | 7.582847566733012E10  1.2792081210838843E11  0.008012647136354255 | 3628800.0
111702.05209937334  42155.3677639094  0.008382616031179943 | 1.4709999991786366E14  4.991158391485639E9  9.999999994416258E12 | 7.269439505522025E10  1.2975423777217702E11  0.008403315927859405 | 3715200.0
116472.85942678057  45030.7291631713  0.008781788223405819 | 1.4709999991395238E14  5.107231842404631E9  9.999999994150365E12 | 6.951652362349232E10  1.315094998952735E11  0.008803269026838652 | 3801600.0
121306.50587014992  48024.96782127406  0.00919024348989259 | 1.4709999990995016E14  5.223305293320465E9  9.99999999387829E12 | 6.629679461304963E10  1.3318557686504613E11  0.009212505368427734 | 3888000.0
126200.0551141004  51139.546876410175  0.009607981830641606 | 1.4709999990585697E14  5.33937874423307E9  9.99999999360003E12 | 6.3037163928544815E10  1.3478149407269897E11  0.009631023879975761 | 3974400.0
131150.5384718795  54375.858231886275  0.010035003245654211 | 1.470999999016728E14  5.455452195142373E9  9.999999993315586E12 | 5.973960903747645E10  1.3629632435959952E11  0.01005882348203129 | 4060800.0
